backend,device,time,size
jax,cuda,0.00048734600022726227,4096
jax,cuda,0.0005070860006526345,4096
jax,cuda,0.00047744599942234345,4096
jax,cuda,0.00046316600128193386,4096
jax,cuda,0.00047231600001396146,4096
jax,cuda,0.00040925499888544437,4096
jax,cuda,0.0004207860001770314,4096
numba,cuda,0.0006232870000530966,16384
numba,cuda,0.0007151890004024608,16384
numba,cuda,0.0006659890004812041,16384
numba,cuda,0.0006453379992308328,16384
numba,cuda,0.0006472580007539364,16384
numba,cuda,0.0007815400003892137,16384
numba,cuda,0.0008434999999735737,16384
numba,cuda,0.0007281990001501981,16384
numba,cuda,0.0006465480000770185,16384
taichi,cuda,0.00023686300119152293,16384
taichi,cuda,0.0002223230003437493,16384
taichi,cuda,0.0002353330000914866,16384
taichi,cuda,0.00021963300059724133,16384
taichi,cuda,0.0002177419992221985,16384
taichi,cuda,0.00022303299920167774,16384
taichi,cuda,0.00022567300038645044,16384
taichi,cuda,0.0002319329996680608,16384
taichi,cuda,0.00019941199934692122,16384
warp,cuda,0.00018469200040271971,16384
warp,cuda,0.00018715299847826827,16384
warp,cuda,0.00017155199930130038,16384
warp,cuda,0.00016863200107763987,16384
warp,cuda,0.00017055200078175403,16384
warp,cuda,0.00016694199985067826,16384
warp,cuda,0.00016780300029495265,16384
warp,cuda,0.0001795820007828297,16384
warp,cuda,0.00016839199997775722,16384
torch,cuda,0.02013836000151059,16384
torch,cuda,0.025815209999564104,16384
torch,cuda,0.02414661000148044,16384
torch,cuda,0.02236146799987182,16384
torch,cuda,0.023360369999863906,16384
torch,cuda,0.02349515099922428,16384
torch,cuda,0.022209925000424846,16384
torch,cuda,0.018720112999289995,16384
torch,cuda,0.018759622998913983,16384
jax,cuda,0.0005215569999563741,16384
jax,cuda,0.00038677500015182886,16384
jax,cuda,0.0003904350014636293,16384
jax,cuda,0.0003854850001516752,16384
jax,cuda,0.00037909400089120027,16384
jax,cuda,0.0003941549985029269,16384
